2025-04-01 21:11:43,neutral
2025-04-01 21:11:44,angry
2025-04-01 21:11:44,angry
2025-04-01 21:11:44,sad
2025-04-01 21:11:45,neutral
2025-04-01 21:11:45,sad
2025-04-01 21:11:45,sad
2025-04-01 21:11:46,happy
2025-04-01 21:11:46,happy
2025-04-01 21:11:46,happy
2025-04-01 21:11:47,happy
2025-04-01 21:11:47,sad
2025-04-01 21:11:47,neutral
2025-04-01 21:11:48,neutral
2025-04-01 21:11:48,neutral
2025-04-01 21:11:48,neutral
2025-04-01 21:11:49,neutral
2025-04-01 21:11:49,sad
2025-04-01 21:11:49,sad
2025-04-01 21:11:50,sad
2025-04-01 21:11:50,sad
2025-04-01 21:11:50,neutral
2025-04-01 21:11:51,sad
2025-04-01 21:11:51,disgust
2025-04-01 21:11:51,happy
2025-04-01 21:11:52,angry
2025-04-01 21:11:52,angry
2025-04-01 21:11:52,angry
2025-04-01 21:11:53,angry
2025-04-01 21:11:53,angry
2025-04-01 21:11:53,fear
2025-04-01 21:11:54,fear
2025-04-01 21:11:54,neutral
2025-04-01 21:11:54,sad
2025-04-01 21:11:55,neutral
2025-04-01 21:11:55,neutral
2025-04-01 21:11:55,fear
2025-04-01 21:11:56,surprise
2025-04-01 21:11:56,surprise
2025-04-01 21:11:56,fear
2025-04-01 21:11:57,surprise
2025-04-01 21:11:57,fear
2025-04-01 21:11:57,surprise
2025-04-01 21:11:58,neutral
2025-04-01 21:11:58,neutral
2025-04-01 21:11:58,neutral
2025-04-01 21:11:59,neutral
2025-04-01 21:11:59,neutral
2025-04-01 21:11:59,neutral
2025-04-01 21:12:00,angry
2025-04-01 21:12:00,neutral
2025-04-01 21:12:00,angry
2025-04-01 21:12:01,angry
2025-04-01 21:12:01,neutral
2025-04-01 21:12:01,angry
2025-04-01 21:12:02,angry
2025-04-01 21:12:02,angry
2025-04-01 21:12:02,angry
2025-04-01 21:12:03,sad
2025-04-01 21:12:03,sad
2025-04-01 21:12:03,neutral
2025-04-01 21:12:04,neutral
2025-04-01 21:12:04,neutral
2025-04-01 21:12:04,neutral
2025-04-01 21:12:05,angry
2025-04-01 21:13:25,neutral
2025-04-01 21:13:25,neutral
2025-04-01 21:13:25,neutral
2025-04-01 21:13:26,neutral
2025-04-01 21:13:26,neutral
2025-04-01 21:13:27,neutral
2025-04-01 21:13:28,neutral
2025-04-01 21:13:28,neutral
